Applicant,FacilityType,LocationDescription,Address,BlockLot,Block,Lot,Status,FoodItems,X,Y,Latitude,Longitude
Liang Bai Ping,Truck,WALLACE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1450 WALLACE AVE,4828024,4828,24,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015606.538,2092377.128,37.72614569,-122.3882277
Ziaurehman Amini,Push Cart,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,234017,234,17,REQUESTED,,6013916.72,2117244.027,37.794331,-122.3958111
SF Street Food,Truck,SUTTER ST: CLAUDE LN to GRANT AVE (216 - 299),290 SUTTER ST,287014,287,14,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,6011162.135,2115691.265,37.78991387,-122.4052329
"Off the Grid Services, LLC",Truck,SANSOME ST: SUTTER ST to BUSH ST (1 - 99),1 BUSH ST,290011,290,11,REQUESTED,,6012652.373,2116027.943,37.79092151,-122.4001004
"Bay Area Dots, LLC",Push Cart,BEACH ST: HYDE ST to LARKIN ST (700 - 799),900 BEACH ST,405007,405,7,REQUESTED,Hot dogs: condiments: soft pretzels: soft drinks: coffee:cold beverages: pastries: bakery goods: cookies: icecream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,6005830.414,2122293.822,37.80774329,-122.4241499
Liang Bai Ping,Truck,REVERE AVE: GRIFFITH ST to CRISP RD (1100 - 1188),1145 REVERE AVE,4786077,4786,77,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6017482.212,2092501.331,37.72659048,-122.3817522
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,POST ST: STOCKTON ST to POWELL ST (300 - 399),384 POST ST,295007,295,7,REQUESTED,American Food: Hot dogs: pretzels: ice cream: salads: beverages: sandwiches: soup: coffee: pastries:etc.,6010333.205,2115237.376,37.78862122,-122.4080689
"BOWL'D ACAI, LLC.",Truck,NORTH POINT ST: LAGUNA ST to BUCHANAN ST (1500 - 1599),15 MARINA BLVD,446002,446,2,REQUESTED,Acai Bowls: Poke Bowls: Smoothies: Juices,6003247.312,2121194.213,37.80457787,-122.4330108
Tacos El Ojo De Agua,Truck,03RD ST: SOUTH PARK to VARNEY PL (548 - 586),551 03RD ST,3775025,3775,25,EXPIRED,Tacos: Burritos: Tortas: Quesadillas: Salads: Soup: Fruits: Juices: Soda: Water,6014157.282,2112255.562,37.78064721,-122.3946292
Tacos Santana,,JERROLD AVE: PHELPS ST to QUINT ST (1700 - 1799),1700 JERROLD AVE,5262009,5262,9,EXPIRED,,6014746.675,2098348.869,37.7424952,-122.3916176
Quan Catering,Truck,,3305 03RD ST,4502A002,4502A,2,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6018751.714,2098754.754,37.74383117,-122.3777974
Liang Bai Ping,Truck,SHAFTER AVE: GRIFFITH ST to HAWES ST (1100 - 1199),1127 SHAFTER AVE,4793017,4793,17,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6017324.545,2092269.627,37.72594556,-122.3822812
Mini Mobile Food Catering,Truck,BERRY ST: 06TH ST to KING ST (400 - 431),420 BERRY ST,8703006,8703,6,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6012806.325,2109136.82,37.77200866,-122.3990838
Quan Catering,Truck,BRANNAN ST: HARRIET ST to LUCERNE ST (715 - 743),722 BRANNAN ST,3779132,3779,132,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6011956.485,2110042.886,37.77444911,-122.4020872
Fruteria Serrano,,MISSION ST: OCEAN AVE to PERSIA AVE (4650 - 4699),4650 MISSION ST,6955044,6955,44,REQUESTED,Fruits including mangoes: pineapples: coconuts: watermelon: corn: cucumber: potatoes chips: water: Mexican drinks: sodas: juices: snow cones,6001790.666,2091754.638,37.72366128,-122.4359438
Reecees Soulicious,Truck,03RD ST: NEWCOMB AVE to OAKDALE AVE (4701 - 4799) -- EAST --,4705 03RD ST,5311036,5311,36,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,6015109.358,2095613.38,37.73500423,-122.3901725
Taqueria Lolita,Truck,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),1700 EVANS AVE,5227001,5227,1,SUSPEND,Tacos: burritos: quesadillas: combination plates: tortas: tostadas,6014950.929,2099216.653,37.74488929,-122.390972
Julie's Hot Dogs,Truck,MISSION ST: 19TH ST to 20TH ST (2300 - 2399),2386 MISSION ST,3596119,3596,119,REQUESTED,Hot dogs: bacon-wrapped hot dogs: chicken burgers: energy drinks: water and various other drinks.,6006843.48,2104477.073,37.75887999,-122.4193792
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,POST ST: STOCKTON ST to POWELL ST (300 - 399),Assessors Block /Lot,,,,REQUESTED,American Food: Hot dogs: pretzels: ice cream: salads: beverages: sandwiches: soup: coffee: pastries:etc.,,,0,0
"Off the Grid Services, LLC",Truck,DAVIS ST: DAVIS CT \ JACKSON ST to BROADWAY (500 - 699),Assessors Block /Lot,,,,REQUESTED,varies truck to truck,,,0,0
Liang Bai Ping,Truck,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1420 YOSEMITE AVE,4831012,4831,12,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015609.592,2092025.988,37.7251817,-122.3881927
Liang Bai Ping,Truck,FELL ST: BRODERICK ST to BAKER ST (1300 - 1399),1377 FELL ST,1214017,1214,17,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6000983.009,2109845.279,37.77328794,-122.4400323
Quan Catering,Truck,02ND ST: HOWARD ST to TEHAMA ST (200 - 227),222 02ND ST,3735063,3735,63,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6013157.288,2114341.766,37.7863198,-122.3982351
Mini Mobile Food Catering,Truck,BERRY ST: 05TH ST to 06TH ST (300 - 399),355 BERRY ST,8707003,8707,3,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6013399.284,2109254.176,37.77236391,-122.397041
The Chai Cart,Push Cart,NEW MONTGOMERY ST: AMBROSE BIERCE ST to MISSION ST (77 - 99),79 NEW MONTGOMERY ST,3707014,3707,14,SUSPEND,Hot Indian Chai (Tea),6012504.312,2114926.774,37.7878897,-122.4005353
Swell Cream & Coffee,Truck,TARAVAL ST: 36TH AVE to SUNSET BLVD (2600 - 2649),2401 36TH AVE,2389001,2389,1,REQUESTED,Ice cream: coffee: pastries,5985030.8,2098527.088,37.74129028,-122.4943779
Quan Catering,Truck,CESAR CHAVEZ ST: CONNECTICUT ST to EVANS AVE (1900 - 2099),2190 CESAR CHAVEZ ST,4324002,4324,2,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6013011.36,2101203.484,37.75023688,-122.397818
Liang Bai Ping,Truck,REVERE AVE: GRIFFITH ST to CRISP RD (1100 - 1188),1135 REVERE AVE,4786051,4786,51,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6017542.344,2092456.505,37.72647072,-122.3815412
Corazon Maya,Truck,MISSION ST: 17TH ST to CLARION ALY (2100 - 2131),2109 MISSION ST,3575091,3575,91,REQUESTED,Tacos: Burritos: Quesadillas: Tortas,6006982.392,2106038.314,37.76317462,-122.4190095
Munch India,Truck,POST ST: MONTGOMERY ST to LICK PL (1 - 40),Assessors Block /Lot,,,,REQUESTED,Daily rotating menus consisting of various local & organic vegetable: poultry: meat: seafood : rice & bread dishes.,,,0,0
Liang Bai Ping,Truck,REVERE AVE: GRIFFITH ST to CRISP RD (1100 - 1188),1160 REVERE AVE,4763050,4763,50,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6017468.62,2092735.972,37.72723401,-122.3818155
Mini Mobile Food Catering,Truck,HARRISON ST: BEALE ST to FREMONT ST \ I-80 W OFF RAMP (300 - 399),355 FREMONT ST,3747 320,3747,320,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6014901.462,2114671.59,37.78732242,-122.3922237
Liang Bai Ping,Truck,JENNINGS ST: VAN DYKE AVE to WALLACE AVE (2100 - 2199),2115 JENNINGS ST,4828021,4828,21,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015486.282,2092591.619,37.72672798,-122.3886584
Liang Bai Ping,Truck,YOSEMITE AVE: HAWES ST to INGALLS ST (1300 - 1399),1335 YOSEMITE AVE,4846013,4846,13,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015941.755,2091544.796,37.72387884,-122.3870109
Mini Mobile Food Catering,Truck,FOLSOM ST: 12TH ST to 13TH ST (1600 - 1699),1690 FOLSOM ST,3515040,3515,40,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6007908.862,2108555.219,37.77013758,-122.4159834
Quan Catering,Truck,SELBY ST: HUDSON AVE to INNES AVE (500 - 599),500 SELBY ST,5264049,5264,49,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6013218.357,2099109.295,37.74449821,-122.3969554
Pipo's Grill,Truck,FOLSOM ST: 14TH ST to 15TH ST (1800 - 1899),1800 FOLSOM ST,3549083,3549,83,REQUESTED,Tacos: Burritos: Hot Dogs: and Hamburgers,6007856.719,2107724.046,37.76785244,-122.4161049
Quan Catering,Truck,BEALE ST: HARRISON ST to BRYANT ST \ DELANCEY ST (400 - 499),400 BEALE ST,3766012,3766,12,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6015274.974,2114511.988,37.78690492,-122.3909203
Mini Mobile Food Catering,Truck,11TH ST: FOLSOM ST to HARRISON ST (300 - 399),355 11TH ST,3520027,3520,27,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6008817.805,2109020.872,37.77146722,-122.4128723
Athena SF Gyro,Push Cart,MARKET ST: 11TH ST intersection,10 SOUTH VAN NESS AVE,3506004,3506,4,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6006927.466,2110076.439,37.77425926,-122.419486
Izzy's Cheesesteaks,Truck,BATTERY ST: CALIFORNIA ST to HALLECK ST (200 - 230),255 BATTERY ST,238002,238,2,REQUESTED,Cheesesteaks: French Fries: and Drinks,6012600.766,2116948.597,37.79344653,-122.4003437
La Jefa,,SUTTER ST: SANSOME ST to MONTGOMERY ST (50 - 99),80 SUTTER ST,289005,289,5,REQUESTED,Tacos: burritos: quesadillas: tortas: nachos (refried beans: cheese sauce: salsa fresca): carnes (beef: chicken: marinated pork: fried pork): canned beans: rice: sodas: horchata drinks.,6012142.609,2115828.791,37.79034625,-122.4018502
"Casey's Pizza, LLC",Truck,MISSION ST: NEW MONTGOMERY ST to ANNIE ST (635 - 664),654 MISSION ST,3707019,3707,19,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,6012296.995,2114673.552,37.78718285,-122.4012348
Liang Bai Ping,Truck,WALLACE AVE: JENNINGS ST to KEITH ST (1500 - 1599),1500 WALLACE AVE,4829002,4829,2,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015315.254,2092594.276,37.72672579,-122.3892499
Liang Bai Ping,Truck,THOMAS AVE: GRIFFITH ST to HAWES ST (1100 - 1199),1180 THOMAS AVE,4793029,4793,29,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6017060.368,2092340.381,37.72612524,-122.3831993
Giant Burrito,Truck,GENEVA AVE: PRAGUE ST to LINDA VISTA STPS (1500 - 1598) -- SOUTH --,1500 GENEVA AVE,6418065,6418,65,REQUESTED,Tacos: Burritos: Tostadas: Flautas: Tostadas: Tortas: Pozole Menudo,6002948.585,2087593.93,37.7123026,-122.4316442
Giant Burrito,Truck,BAY SHORE BLVD: FLOWER ST to CORTLAND AVE (341 - 489) -- EAST --,353 BAY SHORE BLVD,5598030,5598,30,REQUESTED,Tacos: Burritos: Tostadas: Flautas: Tostadas: Tortas: Pozole Menudo,6010751.382,2098146.819,37.74171783,-122.405418
Tacos Santana,,CARROLL AVE: QUINT ST to BAY SHORE BLVD \ THORNTON AVE (2100 - 2199),2101 CARROLL AVE,5436012,5436,12,EXPIRED,,6011371.493,2093947.369,37.73022168,-122.4029785
Quan Catering,Truck,CESAR CHAVEZ ST: INDIANA ST to IOWA ST (1300 - 1399),1301 CESAR CHAVEZ ST,4352007,4352,7,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6014982.07,2100806.303,37.74925586,-122.3909754
Scotch Bonnet,Truck,MONTGOMERY ST: POST ST to SUTTER ST (1 - 99),25 MONTGOMERY ST,0292001A,292,001A,EXPIRED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,6011957.923,2115519.499,37.7894867,-122.4024674
Halal Food,Push Cart,CALIFORNIA ST: DRUMM ST to DAVIS ST (1 - 99),50 CALIFORNIA ST,235022,235,22,REQUESTED,rice chicken beef hot dogs and sandwich's and coke and water,6013470.754,2117151.885,37.79405318,-122.3973477
"Casey's Pizza, LLC",Truck,SPEAR ST: MISSION ST to HOWARD ST (100 - 199),100 SPEAR ST,3717001,3717,1,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,6014423.85,2116439.642,37.79215055,-122.394
"Casey's Pizza, LLC",Truck,FELL ST: GOUGH ST to OCTAVIA ST (300 - 399),368 FELL ST,817032,817,32,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,6005654.042,2110754.304,37.77604871,-122.4239392
Liang Bai Ping,Truck,DONNER AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1475 CARROLL AVE,4882026,4882,26,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6014733.709,2091343.759,37.72325987,-122.3911729
"Casey's Pizza, LLC",Truck,SANSOME ST: PINE ST to CALIFORNIA ST (200 - 299),231 SANSOME ST,260002,260,2,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,6012313.995,2116649.543,37.7926094,-122.4013149
Liang Bai Ping,Truck,UNDERWOOD AVE: INGALLS ST to JENNINGS ST (1300 - 1399),1351 UNDERWOOD AVE,4811005,4811,5,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015824.111,2092689.211,37.72701466,-122.3874974
Mini Mobile Food Catering,Truck,LOOMIS ST: FLOWER ST to WATERLOO ST (120 - 255),491 BAY SHORE BLVD,5598008,5598,8,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,,,0,0
Liang Bai Ping,Truck,QUESADA AVE: ARELIOUS WALKER DR to GRIFFITH ST (1000 - 1099),1031 QUESADA AVE,4764 001,4764,1,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6018280.048,2092193.457,37.72578914,-122.3789727
Liang Bai Ping,Truck,GRIFFITH ST: SHAFTER AVE to THOMAS AVE (1500 - 1599),1515 GRIFFITH ST,4794009,4794,9,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6017577.871,2092036.503,37.72531943,-122.3813892
Athena SF Gyro,Push Cart,08TH ST: BRANNAN ST to TOWNSEND ST (600 - 699),699 08TH ST,3783009,3783,9,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6011509.501,2108803.834,37.771022,-122.4035463
Halal Cart of San Francisco,Push Cart,MARKET ST: FREMONT ST \ FRONT ST to 01ST ST \ BUSH ST (400 - 498) -- NORTH --,1 FRONT ST,266009,266,9,REQUESTED,Gyro; Chicken over rice; Gyro over rice;,6013006.032,2116325.123,37.79175721,-122.3988976
Chilifruit,Push Cart,24TH ST: MISSION ST to OSAGE ALY (3300 - 3322),Assessors Block /Lot,,,,REQUESTED,Mangoneadas: Fruit snacks: Chamoyadas: Bionicos,,,0,0
Quan Catering,Truck,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3401 - 3499) -- EAST --,3433 03RD ST,5203023,5203,23,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,,,0,0
Kettle Corn Star,Push Cart,MARKET ST: POWELL ST to 05TH ST \ CYRIL MAGNIN ST (865 - 899) -- SOUTH --,865 MARKET ST,3705 042,3705,42,EXPIRED,Kettle Corn: Funnel Cakes: Waffles: Lemonade,6010561.591,2113530.347,37.78394691,-122.4071583
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,POWELL ST: GEARY ST to POST ST (300 - 399),331 POWELL ST,307001,307,1,REQUESTED,American Food: Hot dogs: pretzels: ice cream: salads: beverages: sandwiches: soup: coffee: pastries:etc.,6010120.694,2114926.344,37.7877553,-122.4087822
Quan Catering,Truck,ALABAMA ST: TREAT AVE to 15TH ST (201 - 212),201 ALABAMA ST,3924 006,3924,6,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6009014.746,2107680.473,37.76779784,-122.4120963
Tacos Santana,,JERROLD AVE: TOLAND ST to UPTON ST (2100 - 2230),2142 JERROLD AVE,5230011,5230,11,EXPIRED,,6012644.555,2099128.352,37.74451858,-122.3989408
Liang Bai Ping,Truck,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1430 YOSEMITE AVE,4831008,4831,8,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015560.891,2092142.182,37.72549805,-122.3883692
Mini Mobile Food Catering,Truck,KANSAS ST: CESAR CHAVEZ ST to MARIN ST (1600 - 1699),Assessors Block 4341/Lot001,4341001,4341,1,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6011939.508,2100756.7,37.74895036,-122.4014932
Liang Bai Ping,Truck,MAIN ST: FOLSOM ST to HARRISON ST (300 - 399),201 FOLSOM ST,3746002,3746,2,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015208.504,2114965.067,37.78814528,-122.3911819
Alfaro Truck,Truck,VALENCIA ST: 14TH ST to ROSA PARKS LN (300 - 337),306 VALENCIA ST,3546001,3546,1,EXPIRED,Burritos: Tacos: Tortas: Quesadillas & Various Drinks.,6006013.135,2107762.89,37.76785527,-122.4224844
Liang Bai Ping,Truck,FREMONT ST: NATOMA ST to HOWARD ST (170 - 199),Assessors Block 3720/Lot001,3720001,3720,1,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6013655.829,2115559.572,37.78969137,-122.3965956
Halal Cart of San Francisco,Push Cart,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,555 MARKET ST,3708057,3708,57,REQUESTED,Gyro; Chicken over rice; Gyro over rice;,6012693.864,2115651.384,37.78988988,-122.3999304
Boulangerie La Camionnette,,FLORIDA ST: MARIPOSA ST to 18TH ST (500 - 599),500 FLORIDA ST,4018001,4018,1,REQUESTED,Bread: Pastries: Coffee: Pizza,6009153.013,2105781.027,37.76259016,-122.4114839
Let's Be Frank,Push Cart,LINDEN ST: GOUGH ST to OCTAVIA ST (300 - 399),404 OCTAVIA ST,817033,817,33,EXPIRED,Hot dogs and chili,6005585.672,2110752.197,37.77603906,-122.4241756
Khalid M Malik,Push Cart,BATTERY ST: MARKET ST to BUSH ST (1 - 10),Assessors Block /Lot,,,,REQUESTED,chicken sandwich: chicken gyro: chicken biryani,,,0,0
The Chef Station,,DIVISADERO ST: OAK ST to FELL ST (401 - 499) -- WEST --,425 DIVISADERO ST,1215016,1215,16,REQUESTED,South American Peruvian Food - Ceiches: hot wok dishes: hot pastas: rice dishes: and Tapas.,6001606.909,2109860.071,37.77336405,-122.4378752
Mini Mobile Food Catering,Truck,ALAMEDA ST: HAMPSHIRE ST to BRYANT ST (2400 - 2599),Assessors Block 3905/Lot011,3905011,3905,11,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6009738.837,2107942.194,37.76855707,-122.4096102
Liang Bai Ping,Truck,UNDERWOOD AVE: INGALLS ST to JENNINGS ST (1300 - 1399),1389 UNDERWOOD AVE,4811014,4811,14,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015603.925,2092728.532,37.72711043,-122.3882613
Scotch Bonnet,Truck,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),430 CALIFORNIA ST,239029,239,29,EXPIRED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,6012181.836,2116889.979,37.79326221,-122.4017891
"Off the Grid Services, LLC",,MINNA ST: SHAW ALY to 02ND ST (44 - 99),65 MINNA ST,3721124,3721,124,REQUESTED,N/A,6013132.714,2114921.258,37.78790958,-122.3983608
Liang Bai Ping,Truck,DONNER AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1450 DONNER AVE,4882025,4882,25,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6014749.836,2091269.372,37.72305651,-122.3911119
Liang Bai Ping,Truck,GRIFFITH ST: QUESADA AVE to REVERE AVE (1300 - 1399),1300 GRIFFITH ST,4763047,4763,47,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6017681.819,2092678.013,37.72708663,-122.3810744
Mini Mobile Food Catering,Truck,HARRISON ST: FREMONT ST \ I-80 W OFF RAMP to 01ST ST \ I-80 E ON RAMP (400 - 499),401 HARRISON ST,3765001,3765,1,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,,,0,0
Liang Bai Ping,Truck,BANCROFT AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1440 BANCROFT AVE,4850019,4850,19,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015156.082,2091667.743,37.72417289,-122.3897354
Liang Bai Ping,Truck,VAN DYKE AVE: INGALLS ST to JENNINGS ST (1300 - 1399),1337 VAN DYKE AVE,4828029,4828,29,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015726.539,2092412.506,37.72624948,-122.3878154
Mini Mobile Food Catering,Truck,01ST ST: CLEMENTINA ST to FOLSOM ST (245 - 299),245 01ST ST,3737012,3737,12,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6014220.898,2114895.75,37.7879001,-122.394594
Quan Catering,Truck,BRYANT ST: 04TH ST \ I-80 E OFF RAMP to 05TH ST \ I-80 E ON RAMP (600 - 699),645 BRYANT ST,3777051,3777,51,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6012924.199,2111413.539,37.77826658,-122.3988359
Yummy Hot Dogs,Push Cart,MARKET ST: MASON ST \ TURK ST to 06TH ST \ GOLDEN GATE AVE \ TAYLOR ST (950 - 998) -- NORTH --,954 MARKET ST,342001,342,1,SUSPEND,Hot dogs: pretzels: chips: juices and cold drinks,6009859.555,2113263.691,37.78317542,-122.4095683
SF Street Food,Truck,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,3722067,3722,67,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,6012350.571,2114444.914,37.78655805,-122.4010334
Swell Cream & Coffee,Truck,TARAVAL ST: 34TH AVE to 35TH AVE (2400 - 2499),2450 TARAVAL ST,2363022,2363,22,REQUESTED,Ice cream: coffee: pastries,5985532.259,2098975.331,37.74255037,-122.4926771
Quan Catering,Truck,CALIFORNIA ST: DRUMM ST to DAVIS ST (1 - 99),50 CALIFORNIA ST,235022,235,22,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6013470.754,2117151.885,37.79405318,-122.3973477
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,GEARY ST: STOCKTON ST to POWELL ST (200 - 299),Assessors Block /Lot,,,,REQUESTED,American Food: Hot dogs: pretzels: ice cream: salads: beverages: sandwiches: soup: coffee: pastries:etc.,,,0,0
Mini Mobile Food Catering,Truck,FREMONT ST: FOLSOM ST to HARRISON ST \ I-80 W OFF RAMP (300 - 399),350 FREMONT ST,3748007,3748,7,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6014680.389,2114586.51,37.78707653,-122.3929826
